explantion_name,ground_truth,original_prediction_i,img_i,trial_i,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
random,7,7,0,0,0.99991655,0.9999161,0.9971206,0.9976507,0.00030482913,0.00012800907,1.4251671e-05,8.215733e-06,3.2137077e-06,2.7800781e-06,3.318345e-06,2.3433058e-06,1.7998691e-06,2.0521209e-06,1.9847118e-06,2.115287e-06,2.833026e-06,2.6330927e-06,1.9904303e-06,1.3364993e-06,1.6253343e-06
random,7,7,1,0,0.9998448,0.9991398,0.9984351,0.028442105,0.00026788903,0.0005325791,0.00025053477,3.0067938e-05,5.9829677e-06,3.6047966e-06,2.6299363e-06,3.764883e-06,2.9232267e-06,5.0281187e-06,4.372954e-06,3.133141e-06,2.6746745e-06,2.348211e-06,2.5852755e-06,3.3259757e-06,2.5617596e-06
random,7,7,2,0,0.9998871,0.9998702,0.9964864,0.99239093,0.001118876,3.9218645e-05,5.6866734e-06,2.2242068e-06,4.271315e-06,3.5842277e-06,2.9865537e-06,4.2298634e-06,3.3329152e-06,2.4192575e-06,2.259098e-06,1.5347873e-06,1.8787867e-06,2.153661e-06,2.2320373e-06,2.246093e-06,1.8981025e-06
random,7,7,3,0,0.9998704,0.9991885,0.99080735,0.035925847,6.0540773e-05,5.94268e-05,5.411704e-06,3.52088e-06,2.86883e-06,1.8885105e-06,1.8225115e-06,2.175074e-06,2.6452255e-06,3.2878443e-06,2.7090189e-06,2.540482e-06,2.6242933e-06,1.9043009e-06,2.31356e-06,3.1327465e-06,4.463192e-06
random,7,7,4,0,0.9999051,0.99989116,0.99980885,0.66206557,8.9902176e-05,3.219427e-06,9.232991e-07,6.109326e-07,8.3678424e-07,8.7364896e-07,1.3223029e-06,1.5224856e-06,1.681911e-06,1.7992078e-06,1.8501871e-06,2.6428709e-06,3.9753213e-06,4.7623676e-06,4.7472686e-06,3.1078944e-06,3.245362e-06
random,7,7,5,0,0.9999093,0.9998926,0.9996151,0.879152,0.0010581095,2.8298427e-06,1.1648694e-06,6.7992437e-07,9.3739e-07,1.3814192e-06,9.530588e-07,9.100477e-07,8.627339e-07,1.0382545e-06,1.2992301e-06,1.4223571e-06,1.4964913e-06,1.7160437e-06,1.8639936e-06,2.1815767e-06,2.2930553e-06
random,7,7,6,0,0.9998921,0.999863,0.99982315,0.9981243,1.2940251e-05,7.945217e-06,1.0263934e-06,9.0261625e-07,1.3144137e-06,9.2388416e-07,1.6876642e-06,1.3642332e-06,1.0848854e-06,1.00819e-06,1.0493469e-06,1.4378135e-06,1.0041555e-06,1.1303254e-06,1.2291918e-06,1.5998644e-06,1.6063246e-06
random,7,7,7,0,0.9998435,0.999796,0.95695496,0.05364256,0.0005596923,0.00011120553,9.621341e-06,7.09288e-06,2.7186497e-06,3.0465071e-06,2.0076748e-06,1.3018179e-06,1.314571e-06,1.0278724e-06,1.2935741e-06,1.5694053e-06,1.3982434e-06,1.7229122e-06,1.4257967e-06,1.7377362e-06,1.6479703e-06
random,7,7,8,0,0.9998597,0.99956936,0.89694595,0.94807756,0.8893443,0.03495371,1.6686794e-05,2.3542923e-06,1.5628995e-06,1.9911847e-06,3.1376576e-06,2.5890374e-06,2.9872717e-06,3.401307e-06,1.7821902e-06,2.241841e-06,1.6485046e-06,1.8970682e-06,2.160051e-06,1.6827606e-06,2.3252117e-06
